Timestamp,Event,Status,Gaze_Direction,Timer_Duration
10:20:06.727,STATUS_CHANGE,Initializing...,Blinking,
10:20:06.809,GAZE_CHANGE,Initializing...,Center,
10:20:07.242,STATUS_CHANGE,READING,Blinking,
10:20:12.601,TIMER_START,READING,Right,0.0
10:20:12.601,GAZE_CHANGE,READING,Right,
10:20:12.855,STATUS_CHANGE,NO READER,Right,
10:20:13.156,GAZE_CHANGE,NO READER,Left,
10:20:13.811,GAZE_CHANGE,NO READER,Right,
10:20:17.427,STATUS_CHANGE,STOPPED READING,Right,
10:20:18.109,TIMER_STOP,STOPPED READING,Blinking,5.51
10:20:18.109,STATUS_CHANGE,READING,Blinking,
10:20:18.522,GAZE_CHANGE,READING,Center,
10:21:26.832,TIMER_START,READING,Up,0.0
10:21:26.832,GAZE_CHANGE,READING,Up,
10:21:26.870,GAZE_CHANGE,READING,Down,
10:21:26.929,GAZE_CHANGE,READING,Center,
10:21:27.042,GAZE_CHANGE,READING,Up,
10:21:27.087,GAZE_CHANGE,READING,Right,
10:21:27.136,GAZE_CHANGE,READING,Up,
10:21:27.189,GAZE_CHANGE,READING,Right,
10:21:27.226,GAZE_CHANGE,READING,Up,
10:21:27.306,GAZE_CHANGE,READING,Center,
10:21:27.338,GAZE_CHANGE,READING,Up,
10:21:27.399,GAZE_CHANGE,READING,Down,
10:21:27.430,GAZE_CHANGE,READING,Up,
10:21:27.482,GAZE_CHANGE,READING,Right,
10:21:27.617,GAZE_CHANGE,READING,Center,
10:21:27.667,GAZE_CHANGE,READING,Up,
10:21:27.710,GAZE_CHANGE,READING,Center,
10:21:28.225,TIMER_STOP,READING,Center,1.39
10:21:28.262,TIMER_START,READING,Down,0.0
10:21:28.262,GAZE_CHANGE,READING,Down,
10:21:28.441,GAZE_CHANGE,READING,Center,
10:21:28.967,TIMER_STOP,READING,Center,0.70
10:26:21.644,TIMER_START,READING,Up,0.0
10:26:21.644,GAZE_CHANGE,READING,Up,
10:26:21.939,GAZE_CHANGE,READING,Center,
10:26:22.017,GAZE_CHANGE,READING,Up,
10:26:22.198,GAZE_CHANGE,READING,Center,
10:26:22.229,GAZE_CHANGE,READING,Up,
10:26:22.517,GAZE_CHANGE,READING,Center,
10:26:23.023,TIMER_STOP,READING,Center,1.38
10:26:30.352,TIMER_START,READING,Up,0.0
10:26:30.352,GAZE_CHANGE,READING,Up,
10:26:30.377,GAZE_CHANGE,READING,Center,
10:26:30.907,TIMER_STOP,READING,Center,0.55
10:26:31.064,TIMER_START,READING,Up,0.0
10:26:31.064,GAZE_CHANGE,READING,Up,
10:26:31.098,GAZE_CHANGE,READING,Center,
10:26:31.624,TIMER_STOP,READING,Center,0.56
10:26:37.633,TIMER_START,READING,Up,0.0
10:26:37.634,GAZE_CHANGE,READING,Up,
10:26:37.746,GAZE_CHANGE,READING,Center,
10:26:37.775,GAZE_CHANGE,READING,Up,
10:26:37.827,GAZE_CHANGE,READING,Center,
10:26:37.920,GAZE_CHANGE,READING,Up,
10:26:38.423,GAZE_CHANGE,READING,Center,
10:26:38.501,TIMER_STOP,READING,Center,0.87
10:26:55.827,TIMER_START,READING,Down,0.0
10:26:55.827,GAZE_CHANGE,READING,Down,
10:26:55.961,GAZE_CHANGE,READING,Right,
10:26:56.196,GAZE_CHANGE,READING,Down,
10:26:56.267,STATUS_CHANGE,NO READER,Right,
10:26:56.267,GAZE_CHANGE,NO READER,Right,
10:26:56.410,GAZE_CHANGE,NO READER,Up,
10:26:56.545,GAZE_CHANGE,NO READER,Right,
10:26:56.997,GAZE_CHANGE,NO READER,Down,
10:26:57.027,GAZE_CHANGE,NO READER,Center,
10:26:57.097,GAZE_CHANGE,NO READER,Down,
10:26:57.161,GAZE_CHANGE,NO READER,Center,
10:26:57.226,GAZE_CHANGE,NO READER,Right,
10:26:57.750,GAZE_CHANGE,NO READER,Center,
10:26:57.781,GAZE_CHANGE,NO READER,Right,
10:26:57.813,GAZE_CHANGE,NO READER,Center,
10:26:57.925,GAZE_CHANGE,NO READER,Right,
10:27:22.284,STATUS_CHANGE,STOPPED READING,Down,
10:27:22.284,GAZE_CHANGE,STOPPED READING,Down,
10:27:22.396,GAZE_CHANGE,STOPPED READING,Center,
10:27:22.491,GAZE_CHANGE,STOPPED READING,Down,
10:27:22.597,GAZE_CHANGE,STOPPED READING,Center,
10:27:23.126,TIMER_STOP,STOPPED READING,Center,27.30
10:27:23.126,STATUS_CHANGE,READING,Center,
10:27:23.634,TIMER_START,READING,Up,0.0
10:27:23.634,GAZE_CHANGE,READING,Up,
10:27:23.668,GAZE_CHANGE,READING,Right,
10:27:23.692,GAZE_CHANGE,READING,Center,
10:27:24.210,TIMER_STOP,READING,Center,0.58
