Timestamp,Event,Status,Gaze_Direction,Timer_Duration
10:06:20.012,STATUS_CHANGE,Initializing...,Blinking,
10:06:20.175,GAZE_CHANGE,Initializing...,Center,
10:06:20.531,STATUS_CHANGE,READING,Center,
10:06:50.252,TIMER_START,READING,Up,0.0
10:06:50.252,GAZE_CHANGE,READING,Up,
10:06:50.615,GAZE_CHANGE,READING,Center,
10:06:50.664,GAZE_CHANGE,READING,Up,
10:06:50.696,GAZE_CHANGE,READING,Center,
10:06:51.200,TIMER_STOP,READING,Center,0.95
10:07:02.279,TIMER_START,READING,Up,0.0
10:07:02.279,GAZE_CHANGE,READING,Up,
10:07:02.311,GAZE_CHANGE,READING,Center,
10:07:02.848,TIMER_STOP,READING,Center,0.57
10:07:04.908,TIMER_START,READING,Up,0.0
10:07:04.908,GAZE_CHANGE,READING,Up,
10:07:04.970,GAZE_CHANGE,READING,Center,
10:07:05.474,TIMER_STOP,READING,Center,0.57
10:07:16.238,TIMER_START,READING,Up,0.0
10:07:16.238,GAZE_CHANGE,READING,Up,
10:07:16.265,GAZE_CHANGE,READING,Center,
10:07:16.772,TIMER_STOP,READING,Center,0.53
10:07:28.378,TIMER_START,READING,Left,0.0
10:07:28.378,GAZE_CHANGE,READING,Left,
10:07:28.607,GAZE_CHANGE,READING,Center,
10:07:28.638,GAZE_CHANGE,READING,Left,
10:07:28.662,GAZE_CHANGE,READING,Up,
10:07:28.704,GAZE_CHANGE,READING,Left,
10:07:29.409,GAZE_CHANGE,READING,Center,
10:07:29.446,GAZE_CHANGE,READING,Left,
10:07:30.112,GAZE_CHANGE,READING,Center,
10:07:30.298,GAZE_CHANGE,READING,Left,
10:07:30.329,GAZE_CHANGE,READING,Center,
10:07:30.505,GAZE_CHANGE,READING,Left,
10:07:30.543,GAZE_CHANGE,READING,Center,
10:07:31.056,TIMER_STOP,READING,Blinking,2.68
10:07:31.356,TIMER_START,READING,Down,0.0
10:07:31.356,GAZE_CHANGE,READING,Down,
10:07:31.388,GAZE_CHANGE,READING,Center,
10:07:31.430,GAZE_CHANGE,READING,Down,
10:07:31.454,GAZE_CHANGE,READING,Center,
10:07:31.991,TIMER_STOP,READING,Center,0.63
10:07:39.648,TIMER_START,READING,Up,0.0
10:07:39.648,GAZE_CHANGE,READING,Up,
10:07:39.883,GAZE_CHANGE,READING,Center,
10:07:39.993,GAZE_CHANGE,READING,Up,
10:07:40.041,GAZE_CHANGE,READING,Center,
10:07:40.546,TIMER_STOP,READING,Center,0.90
10:07:40.674,TIMER_START,READING,Up,0.0
10:07:40.674,GAZE_CHANGE,READING,Up,
10:07:40.735,GAZE_CHANGE,READING,Center,
10:07:40.875,GAZE_CHANGE,READING,Up,
10:07:40.892,GAZE_CHANGE,READING,Center,
10:07:41.019,GAZE_CHANGE,READING,Up,
